tite,open_store,establish_time,cooperation_time,area_requirement
纯糖网咖,直营,2015年,1-3年,40-50m²
韬智书店,--,2002年,--,--
喜舞,直营,2018年,1-3年,60-80m²
子阳健身,直营,2003年,3-5年,100-200m²
羿龙射箭俱乐部,直营,2018年,3-5年,200-300m²
卡佛书店,直营,2010年,5-10年,1000-2000m²
北辰教育,--,2016年,--,--
Bounce舞蹈工作室,--,2016年,2-5年,150-300m²
花塔罗,--,2019年,1-3年,50-100m²
芳草地画廊,直营,2013年,3-5年,150-200m²
小熊吉他,直营,加盟,2008年,1-3年,40-60m²
田雪松书画院,--,2005年,1-3年,100-200m²
pu精致健身,直营,2015年,3-5年,200-300m²
天域知音,--,1997年,2-5年,100-260m²
MyFit健身,直营,2015年,5-10年,800-1000m²
绘陶然,直营,2018年,3-5年,80-120m²
佰德观岚记羽毛球馆,直营,2018年,5-8年,1000-1100m²
美上美学,直营,2016年,3-5年,100-200m²
优享健身,直营,2016年,1-3年,200-350m²
清木琴行,--,2010年,1-3年,60-150m²
大喜时代剧场,--,2018年,5-8年,2000-3000m²
瑞塔瑜伽,直营,2017年,3-5年,50-100m²
BEAT跳动全城舞蹈中心,直营,2012年,3-5年,500-800m²
YEA LIFE艺术空间,直营,2016年,3-5年,50-100m²
陶语手工,直营,加盟,2015年,1-3年,20-40m²
UK KTV,直营,加盟,2017年,3-5年,500-800m²
图索画室,--,2015年,--,--
嘻品堂乐园,直营,2016年,3-5年,50-80m²
天鹅湖舞蹈学校,直营,2018年,1-3年,80-120m²
图兰朵国际音乐艺术中心,直营,2017年,1-3年,40-50m²
格莱美KTV,直营,2014年,8-10年,2000-3000m²
AC射箭馆,--,2015年,1-3年,100-200m²
印象瑜伽,直营,2014年,3-5年,150-200m²
贝特尔英语,--,2016年,--,--
Dr.Stretch,--,1999年,2-5年,150-300m²
绿树电竞馆,直营,2014年,5-8年,300-500m²
天颂KTV,--,2016年,--,--
源8台球俱乐部,直营,2017年,5-8年,1000-1100m²
K歌达人量贩式KTV,直营,2012年,10-15年,1000-2000m²
K-ONE,直营,加盟,2015年,1-3年,200-300m²
魔岩攀登,直营,2013年,3-5年,50-100m²
M99 BEER,直营,2014年,3-5年,200-400m²
长藤鬼校,直营,2014年,3-5年,1000-1500m²
唱翻天饭饭式KTV,直营,2010年,10-15年,1000-2000m²
嘉华国际影城,直营,加盟,2010年,15-20年,4000-5000m²
MR LEATHER手工皮具,直营,2015年,1-3年,30-60m²
奥维斯健身会所,直营,2016年,5-8年,1500-3000m²
阅外滩,直营,2020年,2-5年,800-1200m²
月升酒店沉浸式互动剧本杀,直营,2020年,5-8年,500-1000m²
纽宾凯LUXE巨幕影城,直营,2018年,10-15年,3000-3500m²
箭巢,直营,加盟,2019年,1-3年,30-40m²
大零溜冰场,加盟,2007年,1-3年,100-200m²
欢悦天堂电玩城,直营,2016年,1-3年,200-300m²
欢乐码头,加盟,2015年,1-3年,20-40m²
威凯斯国际健身,直营,2012年,5-8年,1500-3000m²
海派书房,直营,2020年,5-8年,600-800m²
Rosemary Garden香薰蜡烛,直营,2019年,2-3年,60-150m²
新街口国际影城,直营,2009年,10-20年,4000-5000m²
新晔舞蹈,直营,2014年,3-5年,200-400m²
INS英姿活力中心,直营,2019年,3-5年,200-300m²
吾侪搏击,直营,2019年,3-5年,200-400m²
大玩居vr科技馆,直营,2017年,1-5年,80-100m²
素寻金塾,--,2017年,2-5年,60-150m²
长江银兴影城,直营,2019年,10-15年,4000-5000m²
全时健身,--,2012年,5-8年,800-1200m²
至醇酒库,直营,2008年,1-3年,100-300m²
光影间影院,直营,2019年,8-15年,2000-3000m²
桃花微影,直营,2019年,3-10年,200-500m²
中影首山激光巨幕影城,加盟,直营,代理,2016年,15-20年,3000-5000m²
Mclaren,直营,1966年,2-5年,150-300m²
星河寰宇影城,直营,2013年,10-15年,4000-6000m²
iGOSURFING,直营,加盟,2019年,2-5年,300-600m²
智伽健身,直营,2017年,5-10年,800-2000m²
艾维斯游泳健身,直营,2019年,5-15年,1500-5000m²
飞凡冰上·文化中心,直营,2017年,8-10年,800-1200m²
云旗航空运动,直营,2016年,5-10年,1000-2000m²
弥天VR,直营,加盟,2019年,1-3年,10-50m²
美味实验室,直营,2018年,3-5年,150-350m²
意施精准塑形普拉提,直营,2012年,5-8年,300-500m²
MOMO Fun Star,直营,2015年,1-3年,10-20m²
顽雪,--,2017年,10-20年,10000-15000m²
贝卡舞蹈,直营,2008年,2-5年,120-260m²
威丽斯影城,直营,加盟,2015年,15-20年,3000-4000m²
Jelly's果冻健身,直营,2019年,5-8年,200-350m²
灰鲸搏击运动表现中心,直营,2019年,5-8年,1000-2000m²
那瑜伽,直营,2008年,3-5年,150-300m²
华勇士健身,直营,2015年,5-10年,3000-4000m²
秀动健身,直营,2014年,5-10年,800-3000m²
乐朗音乐艺术中心,直营,2013年,3-5年,300-500m²
DEFGROUP,直营,2017年,5-10年,500-1000m²
音乐房子,直营,2002年,2-4年,400-600m²
微密,直营,2017年,3-5年,80-160m²
么么小魔爪,直营,2019年,1-3年,80-200m²
观华国际影城,直营,2018年,10-15年,3500-5000m²
明珠美术馆,直营,2017年,5-10年,3500-4500m²
赛卡联盟卡丁车场馆,直营,2018年,8-10年,5000-6000m²
Hello dance,直营,2008年,2-5年,200-400m²
美翻乐,直营,加盟,代理,2017年,2-5年,150-290m²
威尔健身,直营,加盟,2010年,3-5年,1000-1200m²
鹿森书店,直营,2017年,2-5年,600-850m²
复游雪,直营,2019年,8-15年,1000-2000m²
亦美瑜伽,直营,2009年,1-3年,100-260m²
大魔王GMK手工浮雕体验馆,直营,2018年,3-5年,80-150m²
游戏大魔方,直营,2017年,5-10年,800-1500m²
卡卡影院,直营,--,5-8年,1000-1500m²
Beaufit女子健身,直营,2018年,5-8年,50-100m²
市隐晓居瑜伽,直营,加盟,代理,2015年,2-5年,200-350m²
青骑士ART LAB,直营,2012年,3-5年,80-150m²
无瑕时代影城,直营,2018年,10-20年,2500-3500m²
名扬国际影城,--,2013年,10-20年,3000-5000m²
爱体健身,直营,2017年,3-5年,50-100m²
太阳部落健身俱乐部,直营,2015年,8-10年,1000-2000m²
环游嘉年华,直营,2010年,5-10年,100-500m²
WEGYMER健萌,直营,2016年,5-8年,400-800m²
UPTOWN MUSICAL,直营,2019年,5-10年,1000-2500m²
维塔斯游泳健身中心,直营,2016年,8-10年,2000-4000m²
盈日国际影城,直营,2014年,10-20年,2000-4000m²
臻适健身,直营,2019年,8-10年,1500-4000m²
模范书局,直营,2014年,10-15年,200-400m²
玩偶遇到爱,直营,2017年,3-5年,40-80m²
ICON偶像健身馆,直营,2016年,3-5年,200-400m²
逃脱反斗城,直营,2014年,2-5年,200-400m²
ACE影城,直营,2018年,18-25年,3000-6000m²
静沐瑜伽,直营,2014年,3-5年,160-300m²
牛子牛书馆,直营,2011年,3-5年,200-400m²
新山书屋,直营,2018年,8-10年,800-1200m²
热迷音乐,直营,2015年,5-8年,300-500m²
中影凤凰国际影城,直营,2016年,15-20年,2000-4000m²
极真,直营,1965年,3-5年,300-600m²
HOPO SNOW,直营,2019年,5-8年,600-1500m²
运动玩乐园,直营,2018年,5-10年,1500-4000m²
麦威英语,直营,2016年,3-5年,200-400m²
净梵瑜伽,直营,2016年,5-8年,500-800m²
翼卡丁EKARTING,直营,2017年,5-8年,2000-5000m²
仁和会计,直营,2002年,2-5年,100-200m²
KPARTY量贩式KTV,直营,--,3-5年,500-1000m²
壹号健身,直营,2015年,6-15年,2000-3000m²
第五疯人院,直营,--,5-8年,1000-2000m²
乾骅电竞馆,直营,2019年,5-10年,1300-1600m²
唐宁书店,直营,2003年,8-15年,800-2000m²
卓越七田国际教育,直营,2010年,3-5年,100-300m²
毛毡共和手工DIY体验馆,直营,2008年,1-3年,30-60m²
弘毅国际武道研修中心,直营,2004年,3-5年,400-800m²
橙天国际影城,直营,2015年,15-20年,2000-5000m²
中华广场电影城,直营,2002年,10-15年,4000-5500m²
EVERLAST格斗健身俱乐部,直营,1910年,5-10年,1200-1400m²
亚冠游泳健身,直营,2014年,10-20年,3000-5000m²
OWEN欧文英语,直营,2001年,3-5年,400-500m²
华翎国际舞蹈培训中心,直营,2007年,3-5年,100-300m²
邓肯舞蹈私立学校,直营,1904年,1-5年,300-1000m²
Bar fable寓,直营,2015年,3-5年,300-500m²
壹马健身俱乐部,直营,2017年,6-10年,800-3000m²
热炼健身,直营,2016年,3-5年,1900-3100m²
21G图玩集,直营,2009年,2-5年,50-100m²
誉公馆,直营,2012年,3-5年,1500-3000m²
趣优健身,直营,2017年,5-8年,2000-4000m²
ONE TWO ONE,直营,2015年,5-10年,800-1500m²
思考乐教育,直营,2012年,3-5年,100-300m²
至高无上,直营,2016年,5-10年,600-1200m²
唱刻,直营,2009年,1-3年,2-5m²
火石星时尚学院,直营,2009年,2-5年,200-400m²
博昇攀岩,直营,2008年,3-5年,50-80m²
普拉达健身,直营,2015年,8-12年,1500-3000m²
威廉健身,直营,加盟,代理,2014年,10-20年,2000-4000m²
新高度,直营,2016年,5-10年,3000-5000m²
BODYSOUL,直营,2015年,3-5年,500-800m²
深影国际影城,直营,2002年,15-20年,3000-6000m²
天幕国际影城,直营,2013年,10-15年,2000-5000m²
么方运动,直营,2017年,5-10年,400-500m²
新创义网咖,直营,2019年,3-5年,200-400m²
Owner Circle,直营,2019年,3-5年,400-800m²
酷玩一族,直营,2019年,6-10年,1000-2000m²
M-BOX音乐酒吧,直营,1999年,3-5年,200-400m²
峨影1958,直营,2012年,15-20年,3000-5000m²
九拍音乐教育,直营,加盟,代理,2003年,2-5年,150-300m²
恒企教育,直营,加盟,2002年,5-8年,200-300m²
南国影城,直营,1988年,5-10年,3500-4500m²
星洲琴行,直营,2006年,1-3年,100-250m²
皇子派对KTV,直营,2016年,5-10年,300-1000m²
SKY BOOK,直营,2019年,5-8年,500-1000m²
怪诞小镇原创剧情密室,直营,2017年,3-5年,150-300m²
梵怡诺瑜伽,直营,2014年,3-5年,300-600m²
诺亚国际英语,直营,2006年,3-5年,200-400m²
MK健身会所,直营,2015年,8-10年,2000-2500m²
OrangeTheory Fitness,直营,2010年,5-10年,200-400m²
第一体育,直营,2002年,5-10年,1000-3000m²
漫游乐动,直营,2019年,3-5年,1500-3000m²
独角兽星空艺术馆,直营,2018年,1-3年,600-1000m²
橄榄绿健身,直营,2016年,5-15年,2000-5000m²
音乐符号,直营,2017年,5-10年,1000-2000m²
明日世界,直营,2017年,5-10年,800-1600m²
今世界影城,直营,2010年,15-20年,3000-5000m²
月亮村KTV,直营,2004年,10-20年,1500-4000m²
大商影城,直营,1995年,15-20年,2000-3000m²
中瑞国际影城,直营,2011年,15-20年,4000-7000m²
YELLOW KORNER,直营,2006年,1-3年,60-100m²
艺术里InArtStudio,直营,2015年,3-5年,100-200m²
八九健身,直营,2008年,8-15年,800-2000m²
大世界影城,直营,2002年,15-20年,2000-4000m²
电先生竞小姐电竞馆,直营,2019年,3-5年,200-300m²
中铁二局驾校,直营,1980年,5-10年,100-300m²
南加VR俱乐部,直营,2016年,1-5年,30-60m²
开心世界,直营,2014年,5-10年,500-800m²
疯狂钢琴,--,2009年,2-5年,200-350m²
和平影都,直营,2003年,15-20年,3000-4000m²
时见鹿书店,直营,2018年,10-15年,2000-2500m²
映联万和国际影城,直营,2013年,15-20年,3000-5000m²
欢唱派对,直营,加盟,代理,2013年,7-15年,1000-2000m²
kc舞蹈教室,直营,--,3-5年,300-600m²
Y+瑜伽会所,直营,2003年,3-5年,1000-2000m²
量子攻略电玩城,直营,--,3-5年,250-500m²
白日梦书店,直营,2017年,3-5年,600-1000m²
汉沙国际模特培训学校,直营,2008年,5-8年,400-600m²
EDC Funky Dance,直营,2016年,3-5年,200-600m²
JAMYO,直营,加盟,代理,2014年,3-5年,180-300m²
SKP RENDEZ-VOUS,直营,2017年,5-10年,1000-2000m²
大同动漫,直营,加盟,代理,1998年,3-5年,30-150m²
钢琴小屋,直营,2010年,3-5年,100-300m²
华臣影城,直营,2004年,15-20年,2000-4000m²
奥美氧舱运动中心,直营,2010年,5-10年,2000-3000m²
MJ魔爵真人密室逃脱,直营,加盟,代理,2015年,3-5年,150-300m²
师家班艺术,直营,2015年,3-5年,300-500m²
力型健健身,直营,加盟,代理,2014年,5-50年,900-2000m²
宝乐屋,直营,2016年,1-3年,5-10m²
三剑客密室逃脱,直营,2013年,3-5年,300-600m²
汉武堂跆拳道,直营,2004年,3-5年,300-600m²
马尔斯健身,直营,2016年,5-10年,1500-3000m²
K歌王,直营,1996年,10-15年,2000-4000m²
乐哈岛,直营,2014年,3-5年,70-150m²
陶之恋,直营,2005年,1-3年,50-100m²
哇哇哇游乐城,直营,2007年,5-10年,3500-4000m²
打金师傅,直营,加盟,代理,2014年,3-5年,50-120m²
JOJO沉浸式实景娱乐,直营,2017年,3-5年,200-400m²
奇思妙想の时空洞,直营,2017年,3-5年,800-1200m²
乐之书店,直营,2018年,5-10年,1000-1200m²
道顺射箭馆,直营,1999年,3-5年,200-400m²
豪锐·斯宝沃健身,直营,2015年,10-15年,2000-4000m²
源芭蕾舞蹈,直营,2015年,3-5年,500-800m²
飞越中国,直营,2018年,10-20年,3000-4000m²
国贸溜冰场,直营,1999年,10-15年,1000-2000m²
中影飞尚百誉,直营,2013年,15-20年,2000-4000m²
我爱运动瑜伽健身,直营,2008年,8-15年,1500-6000m²
时代联合影城,直营,2012年,15-20年,3000-6000m²
君胜国际影城,直营,2017年,10-15年,1500-3500m²
JOYWAVE聚绘,直营,2019年,4-8年,40-100m²
有家嗨店VR,直营,2016年,2-5年,150-200m²
炼·工场,直营,2017年,5-10年,3000-4000m²
大岩悦动,直营,2019年,5-10年,400-600m²
博悦汇,直营,2018年,5-10年,2000-3000m²
teemLab,直营,2001年,1-1年,400-2000m²
自由时刻体育公园,加盟,直营,代理,2018年,5-10年,800-1600m²
K Party,直营,--,5-10年,1500-3000m²
马达旋风,直营,2009年,3-5年,400-600m²
动力堡健身游泳,加盟,直营,代理,2011年,8-15年,1500-3000m²
夸特世界,直营,2011年,5-8年,800-1200m²
悦莱美健身俱乐部,直营,2012年,6-10年,1500-3000m²
洛可可艺术琴行,直营,2006年,1-3年,300-600m²
中体盛世,直营,2008年,5-10年,1000-2000m²
龙仁跆拳道馆,直营,2007年,3-5年,400-600m²
JS舞蹈,直营,加盟,代理,2011年,2-5年,100-260m²
新南国影城,--,2002年,10-15年,2000-4000m²
天一书房,直营,2016年,2-5年,500-1000m²
思南书局,直营,2018年,2-5年,300-500m²
鑫苑星空影城,直营,加盟,2015年,8-10年,2500-5000m²
正勇跆拳道,直营,2005年,3-5年,150-300m²
尚辰量贩式KTV,直营,2013年,10-15年,1500-3000m²
梵臣迈动游泳健身,直营,2014年,6-15年,1500-4500m²
無名室,直营,2015年,3-5年,80-200m²
超越健身,直营,加盟,代理,2005年,5-10年,1500-3000m²
上海书城,直营,1998年,3-5年,3000-4000m²
