tite,open_store,establish_time,cooperation_time,area_requirement
steiff,直营,1886年,3-5年,60-200m²
瑁恩瑁爱,直营,1998年,1-3年,30-60m²
麦琪萝丝亲子家庭俱乐部,直营,2006年,6-10年,1000-1500m²
嗨皮侠儿童汽车科技主题乐园,直营,加盟,代理,2018年,5-10年,3000-6000m²
变形警车珀利儿童驾校,直营,2013年,3-5年,100-200m²
岚上击剑,直营,2013年,5-10年,400-800m²
戴爱莲文化艺术中心,直营,加盟,代理,2014年,5-10年,500-2000m²
朱古力儿童健身,直营,加盟,代理,2017年,5-10年,300-800m²
诺诗兰童装,直营,加盟,代理,1973年,1-3年,50-150m²
乐雅方舟素质教育中心,直营,2017年,10-20年,3500-6000m²
画加美术,直营,2012年,3-5年,200-400m²
乐满堂,直营,2014年,5-10年,800-2000m²
孩盟教育,直营,2016年,5-10年,360-500m²
棉纱世家,直营,加盟,代理,2008年,1-3年,50-150m²
爱西西,直营,加盟,代理,2013年,1-3年,30-60m²
chicco,直营,1958年,3-5年,60-150m²
豆乐元,直营,加盟,代理,2003年,5-10年,800-1500m²
米其儿,直营,加盟,代理,1980年,5-10年,200-500m²
FIRST FLAG,直营,2014年,3-5年,60-120m²
BABIBOO,直营,2011年,3-5年,60-120m²
乖乖兔儿童摄影,直营,2006年,1-3年,100-300m²
迈动轮滑,直营,2011年,2-5年,200-300m²
小岳飞儿童感统训练馆,直营,--,5-10年,200-450m²
B&G宝贝格子,直营,加盟,代理,2012年,3-5年,300-700m²
童梦园,直营,2011年,5-8年,500-1000m²
卡兹宝主题乐园,加盟,直营,代理,2017年,5-10年,800-2000m²
美泰,直营,1945年,1-3年,50-100m²
米兜欢乐王国,直营,2015年,5-10年,800-1500m²
UNDER ARMOUR YOUTH,直营,1996年,3-5年,100-200m²
棉果果,直营,加盟,代理,2004年,1-5年,80-200m²
妈仔谷,直营,加盟,代理,2005年,1-3年,80-150m²
摩尔,直营,加盟,代理,1925年,1-3年,50-100m²
灵多斯乐园,直营,2008年,6-15年,800-3000m²
乐8水上乐园,直营,加盟,代理,2015年,5-10年,3000-5000m²
红舞鞋舞蹈艺术培训中心,直营,2009年,3-5年,300-600m²
西瓜王子,直营,加盟,代理,2000年,3-5年,80-150m²
CLAN-C,直营,加盟,代理,2008年,1-3年,60-120m²
泰迪珍藏,直营,2006年,1-3年,30-60m²
SILVER CROSS,直营,1877年,3-5年,60-150m²
玄音琴行,直营,2014年,5-8年,100-220m²
婴之坊,直营,加盟,代理,2008年,5-10年,150-300m²
NAUTICA KIDS,直营,1983年,3-5年,100-200m²
大黄鸭儿童乐园,直营,2007年,5-10年,200-500m²
Monkey  tree,直营,加盟,代理,2009年,10-100年,200-400m²
EBO乐园,直营,加盟,代理,2015年,1-3年,200-550m²
贝拉格林,直营,2014年,3-10年,50-200m²
札德儿童家居,直营,2008年,3-5年,60-120m²
WINGHOUSE,直营,1995年,1-3年,50-100m²
智慧喵,直营,加盟,代理,2015年,3-5年,200-300m²
小云朵童品,直营,加盟,2016年,5-15年,50-200m²
妙邻学堂,直营,2014年,12-20年,3000-5000m²
港艺芭蕾,直营,2005年,5-8年,600-1000m²
BORA AKSU KIDS,直营,2002年,3-5年,50-100m²
可恩宝贝,直营,加盟,代理,2010年,1-3年,50-100m²
爱玩爱游,直营,加盟,代理,2010年,3-5年,100-500m²
咔叮卡丁,直营,加盟,代理,2019年,1-5年,200-500m²
天童美语,直营,2004年,5-10年,400-800m²
梓熙专业儿童摄影,直营,2005年,5-10年,500-1200m²
永高人,直营,加盟,代理,1995年,1-3年,30-60m²
宝贝之家,加盟,直营,代理,2010年,1-3年,50-150m²
精华学校,直营,1978年,5-10年,500-1000m²
海贝儿,直营,加盟,代理,2014年,5-10年,1000-2000m²
奥飞Q宠主题乐园,--,2017年,3-10年,200-800m²
U-JAR,直营,加盟,代理,2012年,3-5年,60-120m²
动动乐园,直营,2014年,3-5年,200-400m²
韦氏,直营,加盟,代理,1994年,1-3年,30-60m²
各个悟智能玩具,直营,2010年,3-5年,100-200m²
N联新动力轮滑,直营,加盟,代理,2010年,2-6年,130-300m²
德嘉国际象棋俱乐部,直营,--,3-5年,400-600m²
贝乐童话,直营,2012年,3-8年,500-2000m²
orange梦橙邦,直营,2012年,5-8年,400-800m²
童天,直营,加盟,代理,1993年,3-5年,100-200m²
孕婴世界,直营,加盟,代理,1998年,1-3年,100-300m²
YOUNG VERSACE,直营,2011年,3-5年,60-120m²
米高轮滑中心,直营,加盟,2003年,1-3年,50-150m²
卡丁童鞋,直营,加盟,代理,2006年,1-3年,50-150m²
奥乐奥儿童乐园,加盟,代理,2019年,5-8年,1000-3000m²
优贝童车,直营,加盟,代理,2009年,1-3年,50-100m²
小荧星,直营,1985年,5-8年,300-500m²
乐米其儿童乐园,直营,2015年,5-10年,500-2000m²
哥比兔,直营,2000年,1-3年,80-150m²
皇室童缘,直营,加盟,代理,2010年,1-3年,50-120m²
原木原创,直营,加盟,1999年,1-5年,20-60m²
创意星球少儿美术,直营,2010年,1-3年,40-80m²
音卓钢琴艺术中心,直营,2010年,3-5年,300-500m²
赛尔之城,直营,2011年,5-8年,500-1000m²
淘气贝贝,直营,加盟,代理,2002年,1-2年,80-120m²
力果,直营,加盟,代理,1990年,1-3年,50-150m²
吃奶鱼,直营,加盟,代理,2014年,3-10年,15-50m²
第壹街舞,直营,2010年,5-8年,380-450m²
咖搭姆少儿编程创客中心,直营,加盟,代理,2015年,3-5年,80-150m²
四喜人,直营,2001年,3-5年,30-100m²
DM大米王国,直营,2015年,5-10年,2000-4000m²
百变创造力,直营,加盟,代理,2011年,5-10年,160-300m²
U.K.BABEING,直营,2011年,1-3年,60-200m²
fine little home,直营,2018年,3-5年,150-300m²
魔乐街亲子乐园,直营,加盟,代理,2016年,8-10年,1000-3000m²
迪西,直营,加盟,代理,2007年,1-3年,50-100m²
乐嗨皮亲子嘉年华,直营,加盟,代理,2017年,5-10年,500-1200m²
汪小荷,直营,加盟,代理,2005年,1-3年,50-150m²
Beau Kids,直营,2015年,3-5年,80-200m²
顽博士,直营,2016年,5-10年,1000-3000m²
趣味城堡,直营,加盟,2017年,1-3年,20-90m²
天阳亲子,直营,2007年,10-20年,3000-6000m²
元博教育,直营,2012年,6-8年,600-1000m²
雅布力母婴生活馆,直营,加盟,代理,2005年,3-5年,300-800m²
宝贝计画,直营,加盟,代理,2010年,3-5年,100-300m²
Balabala Town,直营,2012年,1-3年,100-200m²
奇幻智乐园,直营,加盟,代理,2012年,5-10年,500-1000m²
骇客星探索乐园,直营,加盟,代理,2018年,5-10年,1500-6000m²
东方剑桥幼儿园,直营,2010年,15-30年,1500-6000m²
小猪佩奇的玩趣世界,直营,2018年,5-10年,500-800m²
海威迩,直营,加盟,代理,2002年,1-5年,50-200m²
YY Kids,直营,--,3-5年,60-120m²
nitive kids,直营,加盟,代理,2009年,3-5年,30-50m²
mikibobo,直营,加盟,代理,2016年,3-5年,60-200m²
小蜜蜂农场,直营,2018年,5-10年,5500-10000m²
莫蒙特,直营,加盟,代理,2012年,3-5年,50-200m²
TAKARA TOMY,直营,1924年,1-3年,50-80m²
世骑家马术中心,直营,2017年,5-10年,1000-2000m²
邦德教育,直营,2001年,5-8年,150-300m²
东方启音,直营,2007年,5-10年,300-600m²
The Children’s Place,直营,1969年,1-3年,50-150m²
海洋奇梦馆,直营,2001年,15-20年,2700-3000m²
Motobaby,直营,2011年,1-3年,100-300m²
大卫美术教育,直营,加盟,代理,2005年,5-10年,200-600m²
跆极道馆,直营,2006年,5-10年,300-600m²
厚德跆拳道,直营,--,3-5年,200-500m²
E.I一爱亲子时装,直营,加盟,代理,2018年,3-5年,60-100m²
REIMA,直营,1944年,1-3年,60-100m²
希望美术教育,直营,加盟,代理,2004年,5-8年,300-600m²
俊辰儿童健康调理中心,直营,加盟,代理,2010年,3-5年,60-120m²
粘粘屋星球,直营,加盟,代理,2010年,3-5年,100-300m²
芭比童鞋,直营,2011年,3-5年,50-150m²
小象猛犸,直营,2014年,5-10年,500-1000m²
知贝医疗,直营,2016年,5-10年,400-600m²
阿墨逗乐高,直营,加盟,2013年,1-3年,200-300m²
立秀宝,直营,2016年,3-10年,8000-9000m²
美乐树思创教育,直营,2015年,5-8年,300-500m²
森虎儿,直营,加盟,代理,2011年,2-3年,50-150m²
博洋宝贝,直营,2011年,1-3年,50-100m²
福瑞斯轮滑,直营,加盟,代理,2006年,3-5年,200-500m²
艾克瑞特机器人,直营,2007年,5-8年,400-800m²
万国体育国际击剑,直营,2006年,5-10年,3000-5000m²
星控大师少儿美术,直营,加盟,代理,2008年,3-5年,150-300m²
多莫动物科普主题乐园,加盟,代理,2017年,5-10年,2500-3500m²
STOKKE,直营,加盟,代理,1932年,3-5年,50-150m²
哈皮岛,直营,加盟,代理,2017年,2-5年,800-1200m²
点点梦想城,直营,2009年,8-15年,4000-6000m²
芭乐兔,直营,加盟,代理,2009年,1-5年,50-150m²
梦之龙儿童游乐,直营,加盟,代理,2012年,5-10年,1000-2000m²
量子猫科学馆,直营,2012年,3-5年,200-400m²
辛巴娜娜,加盟,2013年,1-3年,30-60m²
惟普达,直营,加盟,代理,2014年,1-3年,80-150m²
瓦力工厂机器人,直营,加盟,代理,2013年,10-15年,500-1500m²
凤绫儿,直营,2015年,3-5年,1000-2000m²
天使印象,直营,2010年,5-8年,300-800m²
爱儿健,直营,加盟,代理,1997年,1-3年,50-150m²
miniversity,直营,2019年,10-15年,1000-3000m²
海贝乐,直营,2012年,2-20年,50-500m²
Sun Tomorrow,直营,加盟,代理,2010年,1-3年,50-80m²
盒家欢乐世界,直营,加盟,代理,2016年,5-10年,600-1200m²
大松果马达攀岩馆,直营,2015年,3-10年,100-300m²
贝乐乐高机器人,直营,加盟,代理,2008年,3-5年,100-300m²
青苗国际幼儿园,直营,1998年,5-10年,1000-2000m²
喜喜熊儿童主题乐园,直营,加盟,代理,2018年,6-10年,500-1500m²
QQBABY,直营,1999年,3-5年,300-600m²
纷多乐创意馆,直营,加盟,代理,2015年,3-5年,40-60m²
培飞思维馆,直营,2015年,3-5年,200-400m²
BEBELUX,直营,加盟,代理,2013年,3-5年,50-130m²
伊叶舞蹈,直营,2006年,4-8年,200-300m²
1001夜童装,直营,2007年,1-3年,50-200m²
好小子机器人教育,直营,加盟,代理,2009年,3-5年,100-300m²
创想童年,加盟,代理,2009年,5-10年,300-500m²
德蒙斯特,直营,加盟,代理,2003年,3-5年,60-120m²
迎新儿童体育公园,直营,2010年,5-8年,2000-3000m²
安米莉,直营,加盟,代理,2006年,3-5年,60-120m²
阿迪熊,直营,加盟,代理,1968年,3-5年,100-150m²
萌宠奇缘,直营,2017年,10-15年,5000-8000m²
嘻嘻王国,直营,2017年,3-5年,1000-2000m²
多多淘,直营,2014年,5-8年,800-1200m²
艾力的奇幻世界,直营,加盟,代理,2017年,5-8年,1000-1500m²
拉玛足球学院,直营,加盟,代理,1927年,5-10年,2000-3000m²
Tartine et Chocolat,直营,1977年,3-5年,60-120m²
安妮公主,直营,1985年,3-5年,60-120m²
嗨翻天,直营,2009年,3-5年,500-1500m²
乐同书桌椅,直营,加盟,代理,2002年,1-3年,50-100m²
Lamour bebe,直营,加盟,代理,2013年,1-3年,50-150m²
鲨鲨坊,直营,2007年,1-3年,50-100m²
棉之印,直营,2010年,1-3年,50-100m²
聚焦BABY,直营,加盟,代理,2014年,1-3年,200-400m²
米乐熊,直营,加盟,代理,2010年,1-3年,50-90m²
奇乐王国,直营,2016年,5-10年,1000-1500m²
亲宝宝小儿推拿,直营,加盟,代理,1999年,3-5年,60-120m²
探路者童装,直营,加盟,代理,2014年,1-3年,50-150m²
Roberta di Camerino kids,直营,加盟,代理,1964年,3-5年,30-100m²
乐游,直营,2017年,5-8年,500-1200m²
童眠童棉,直营,2016年,1-3年,50-150m²
引领右脑,直营,加盟,代理,2008年,3-5年,200-500m²
星时光卡丁车儿童乐园,直营,2018年,6-15年,3000-6000m²
鑫童互动,直营,加盟,2014年,2-5年,150-500m²
童喜梦,直营,加盟,代理,2017年,2-5年,300-600m²
贝贝摩登,直营,2001年,3-5年,100-200m²
小食梦兽,直营,2016年,3-5年,80-150m²
贝乐湾婴童SPA,直营,2013年,5-8年,180-250m²
乐鲨,直营,加盟,代理,2009年,1-3年,60-120m²
TATAKIDS,直营,加盟,代理,2018年,3-5年,80-150m²
星辉玩具,直营,2000年,1-3年,100-200m²
亲子坊婴童百货,直营,加盟,代理,2005年,1-3年,80-200m²
皇家迪智尼,直营,加盟,代理,2014年,1-3年,80-200m²
小蓝象,直营,2012年,1-3年,50-100m²
蒲公英经典儿童摄影,直营,--,5-8年,60-120m²
TFGOL,直营,加盟,代理,2018年,3-5年,80-150m²
好莱坞魔法工场.魔法城室内主题乐园,直营,加盟,代理,2016年,5-10年,4000-7000m²
大玩小乐,直营,2014年,5-10年,800-2000m²
孕之彩,直营,加盟,代理,2004年,1-3年,50-150m²
泰迪熊,直营,1902年,1-3年,50-100m²
顽童堡,直营,2018年,3-5年,200-400m²
吉的堡成长中心,直营,加盟,代理,1986年,3-10年,300-1000m²
乐宝天地,直营,加盟,代理,2014年,5-10年,500-1000m²
鲁卡奇,直营,加盟,2010年,5-10年,1000-1500m²
万代玩具,直营,1955年,3-5年,50-80m²
热带鱼童装,直营,2002年,3-5年,100-200m²
乔丹儿童,直营,加盟,代理,2016年,1-3年,80-150m²
乐益达,直营,2008年,5-8年,400-800m²
儿推世家,直营,加盟,代理,2006年,3-5年,100-200m²
熊猫遛娃,直营,加盟,代理,2017年,1-3年,1-2m²
奇源王国,直营,加盟,代理,2014年,5-10年,800-5000m²
城市传奇,直营,2008年,5-10年,500-1800m²
左印国际美术教育,直营,2009年,1-3年,200-400m²
太空学院主题乐园,直营,2017年,3-5年,1500-2000m²
芙莱莎,直营,1972年,1-3年,100-200m²
宝大祥,直营,1999年,3-5年,5000-10000m²
鲱鱼宝宝,直营,加盟,代理,2005年,5-8年,400-800m²
同学都荟 ELITE PLUS,直营,加盟,代理,2016年,10-15年,3000-20000m²
小小一贝堂,直营,加盟,2014年,3-10年,100-300m²
安蚁集法式亲子餐厅,直营,2018年,3-5年,300-600m²
卡洛特品格音乐,直营,加盟,代理,2017年,3-8年,300-1000m²
贝加跆拳道,直营,2016年,5-10年,150-400m²
番小茄小儿推拿,直营,2016年,3-5年,120-180m²
新精武少儿武术,直营,2008年,5-10年,450-600m²
果町猫艺术馆,直营,2015年,3-5年,100-150m²
童画少儿艺术教育,直营,加盟,2001年,3-5年,300-600m²
辫豆HABA儿童馆,加盟,直营,代理,1938年,5-8年,300-400m²
桐语江湖小镇,直营,加盟,代理,2017年,5-10年,3000-6000m²
迷卡赛车,直营,加盟,代理,2018年,3-5年,200-500m²
乖乖鼠奇幻王国,直营,加盟,代理,2016年,5-8年,1200-3000m²
贝尔机器人编程中心,直营,2011年,5-8年,400-800m²
芭迪儿童摄影,直营,加盟,代理,2003年,1-3年,150-300m²
小阿福,直营,加盟,代理,1997年,3-10年,100-300m²
ChildNote,直营,加盟,代理,2013年,1-3年,200-400m²
美华少儿英语,直营,--,3-5年,500-800m²
嘉有儿女小儿推拿,直营,加盟,代理,2011年,3-5年,50-150m²
威鲸欢乐世界,直营,2008年,3-10年,800-3000m²
凤凰机器人,直营,加盟,代理,2012年,5-10年,300-600m²
音之舞,直营,加盟,代理,2002年,3-5年,300-500m²
小象Q比,直营,加盟,代理,1992年,1-3年,60-100m²
科睿机器人教育,直营,2009年,5-10年,300-600m²
阿玛尼童装,直营,1982年,3-5年,50-150m²
萌喵乐园,直营,2015年,5-10年,880-2200m²
登康好儿尚,直营,2005年,3-5年,120-300m²
酷玩儿童亲子嘉年华,加盟,2018年,1-5年,200-500m²
登康贝比,直营,加盟,代理,1996年,3-5年,100-200m²
骑域国际青少年骑士院,直营,2015年,5-10年,30000-50000m²
银辉玩具,直营,加盟,代理,1977年,3-5年,50-150m²
优家宝贝,直营,加盟,代理,2011年,1-3年,100-200m²
NBA playzone成长中心,直营,2015年,5-10年,1500-2000m²
ooh Dear,直营,2009年,1-3年,60-150m²
企鹅呆呆儿童游乐,加盟,直营,代理,2016年,5-8年,500-2000m²
米拉熊,直营,加盟,代理,2006年,1-3年,50-150m²
美吉乐儿童乐园,直营,加盟,2006年,5-8年,300-500m²
波比一号太空主题乐园,直营,2015年,5-8年,300-500m²
酷童乐园,直营,2014年,1-3年,500-1000m²
易读宝,直营,加盟,代理,2008年,1-3年,20-60m²
蚂蚁蚂蚁儿童乐园,直营,2016年,5-10年,1000-1200m²
玛酷机器人,直营,加盟,代理,2014年,3-5年,150-300m²
汉娜杰克的菜园,直营,2017年,5-8年,500-1000m²
GOLDEN HAIR,直营,2014年,1-5年,100-200m²
姚同楷书法工作室,直营,2000年,3-5年,200-400m²
KHQ,直营,加盟,代理,2015年,1-3年,100-200m²
美立德洪恩儿童成长中心,直营,2003年,5-8年,300-600m²
优思少儿体能馆,加盟,直营,代理,2014年,3-5年,400-800m²
智多宝,直营,2013年,5-10年,1000-2000m²
LITTLE SPACE,直营,2017年,1-3年,80-150m²
开心米奇,直营,加盟,代理,1999年,3-5年,50-150m²
Mikihouse,直营,1971年,1-3年,50-100m²
真朴围棋,直营,2007年,3-5年,100-300m²
SUPERSLOTRACING,直营,2016年,1-3年,200-400m²
优卡丹儿童慕斯,直营,加盟,代理,2017年,1-5年,50-200m²
几米入儿童国际俱乐部,直营,加盟,2016年,5-10年,500-1000m²
金芭蕾舞蹈,直营,2009年,5-10年,400-600m²
缤纷鸟,直营,2004年,5-8年,200-500m²
卓玛海洋探险乐园,直营,2017年,5-10年,300-800m²
关键词青少儿英语,直营,2007年,5-8年,300-800m²
小白豚儿童乐园,直营,2016年,3-5年,400-800m²
RAY&CO.,直营,2015年,1-3年,50-100m²
DASH机器人活动中心,直营,2015年,3-5年,100-200m²
优优小王国,直营,2009年,3-5年,100-300m²
托马斯多多岛大冒险,直营,加盟,代理,1968年,1-3年,300-500m²
杰的牧场,直营,2007年,5-10年,500-2000m²
捷米梵,直营,加盟,代理,1990年,3-5年,30-60m²
乖乖狗,直营,加盟,代理,1988年,3-5年,40-80m²
海淘刷刷,直营,加盟,代理,2015年,1-3年,30-80m²
上流贵族,加盟,直营,代理,2015年,3-5年,60-300m²
Kids winshare,直营,2017年,5-10年,1000-2000m²
母婴坊,直营,加盟,代理,2001年,1-3年,40-80m²
欧抱抱,直营,加盟,代理,2014年,3-5年,60-200m²
小手大艺,直营,加盟,代理,2013年,1-3年,50-100m²
爱贝迪,直营,加盟,代理,2016年,5-8年,300-500m²
lenle kids,直营,2019年,3-5年,80-150m²
巴比兔,直营,加盟,代理,2004年,1-3年,50-260m²
贝亲,直营,加盟,代理,1957年,1-3年,50-200m²
PIGGY&CANDY,加盟,直营,代理,2017年,1-3年,30-60m²
全棉宝贝,直营,2018年,3-5年,100-200m²
乐博乐博机器人,直营,加盟,代理,2012年,3-5年,300-600m²
朵朵童世界,直营,2010年,15-20年,8000-15000m²
仙霸亲子互动,直营,1945年,5-20年,50-300m²
能力风暴,直营,1996年,5-8年,300-600m²
乐宁少儿素养中心,直营,加盟,代理,2001年,5-10年,350-500m²
MAC MIOCO,直营,加盟,代理,2010年,1-3年,50-100m²
佳乐迪,直营,加盟,代理,2015年,5-10年,800-2000m²
木可木可,直营,2015年,3-5年,80-200m²
蓝鲸乐园,直营,2010年,5-8年,500-1000m²
100 fun亲子乐园,加盟,直营,代理,2018年,5-10年,500-5000m²
可可尤优婴童生活,直营,加盟,代理,2007年,3-5年,300-600m²
月儿湾水育早教中心,直营,加盟,代理,2008年,3-5年,300-600m²
marc&janie,直营,2011年,1-3年,50-200m²
乐塔乐园LetowerPark,直营,2004年,5-10年,500-2000m²
THOMAS&FRIENDS,直营,1930年,1-3年,50-150m²
刘诗昆钢琴艺术中心,--,2002年,5-10年,300-400m²
Hello功夫,直营,2014年,3-5年,300-600m²
闹腾（NAUGHTY KIDS),直营,2017年,5-8年,800-1200m²
两个小朋友,直营,加盟,代理,2008年,1-3年,30-80m²
婴贝儿,直营,2007年,3-5年,200-400m²
小明星钢琴学校,直营,2011年,5-8年,200-400m²
佳音英语,直营,加盟,代理,1981年,5-10年,500-800m²
The Genius Workshop,直营,加盟,代理,2004年,3-5年,150-300m²
多乐岛,直营,2014年,5-8年,1500-2500m²
乖乖真棒,直营,加盟,代理,2012年,1-3年,30-60m²
思普瑞德儿童水上乐园,--,2014年,3-10年,800-1200m²
艺鑫文化,直营,2009年,5-8年,300-600m²
思维谷积木小镇,直营,2015年,5-8年,500-1000m²
奥飞动漫玩具,直营,加盟,代理,--,1-3年,30-60m²
奥特翔,直营,2003年,3-5年,300-500m²
大将作,直营,加盟,代理,1983年,1-3年,50-100m²
艺秀教育,直营,2013年,8-15年,500-1500m²
音速风暴,直营,2013年,3-5年,50-120m²
dojump蹦床公园,直营,2017年,5-10年,1000-6000m²
奥申早教游泳俱乐部,直营,加盟,代理,2015年,5-10年,250-400m²
原子同学,直营,2014年,3-5年,200-400m²
周广仁钢琴艺术中心,直营,加盟,代理,2005年,5-8年,400-800m²
欧恰恰,直营,加盟,代理,2006年,1-3年,30-50m²
海伦奥格雷迪戏剧学院,直营,加盟,1979年,5-10年,500-800m²
奇乐,加盟,直营,代理,2015年,3-10年,300-600m²
逻辑狗,直营,加盟,代理,2003年,1-3年,50-200m²
童程童美,加盟,直营,代理,2013年,5-8年,350-600m²
NUZZLE,直营,加盟,代理,2000年,3-5年,50-80m²
梦洁宝贝,直营,2006年,3-5年,100-150m²
暇步士童装,直营,1958年,3-5年,50-150m²
小星辰,直营,2014年,1-3年,60-120m²
必灵星球,直营,加盟,代理,2017年,1-3年,5-10m²
玩点名堂,直营,2014年,1-3年,50-100m²
松松小镇,直营,加盟,代理,2015年,5-8年,3000-5000m²
BONPOINT,直营,1975年,3-5年,50-150m²
可优比,直营,2003年,3-5年,120-200m²
汪汪队,直营,2014年,5-10年,800-1500m²
maya's,直营,加盟,代理,2011年,3-5年,50-80m²
Hape,直营,1986年,3-5年,30-80m²
想象乐创意中心,直营,加盟,代理,2001年,5-8年,200-500m²
哒卟溜欢乐王国,直营,2016年,8-10年,800-1500m²
学乐SCHOLASTIC,直营,1920年,5-10年,300-800m²
星奇添,直营,2005年,5-10年,300-500m²
阿朵拉儿童发型设计,直营,2016年,1-5年,100-300m²
博佳机器人俱乐部,直营,加盟,代理,2009年,3-5年,300-500m²
亚卡迪,直营,1976年,3-5年,60-80m²
企鹅家全素质儿童中心,直营,1901年,3-5年,500-1000m²
伐木农场,直营,加盟,代理,2016年,5-10年,100-200m²
大脑地图素养成长中心,直营,加盟,代理,2009年,3-5年,300-500m²
天才计划,直营,加盟,代理,2012年,3-5年,20-150m²
米高运动成长中心,直营,2014年,5-8年,800-1000m²
artspire童绘,直营,2012年,3-5年,200-500m²
凯利特,--,1995年,--,30-80m²
尚武跆拳道,直营,加盟,代理,2014年,5-8年,1000-2000m²
Cabbeen Love,直营,加盟,代理,2018年,3-5年,80-150m²
国际蓝孩,直营,2008年,3-5年,150-300m²
光明园迪,直营,加盟,代理,2002年,1-3年,30-60m²
BlankPage自助绘馆,--,2015年,1-3年,100-200m²
婴知岛,直营,加盟,代理,1999年,3-8年,300-500m²
GAP KIDS,直营,1986年,1-3年,100-200m²
童邦,直营,加盟,代理,2015年,5-10年,500-1000m²
李宁kids,直营,2010年,3-5年,60-120m²
哈尼鹿儿童梦幻王国,直营,加盟,代理,2015年,5-10年,1500-3000m²
motherswork,直营,加盟,代理,1998年,3-5年,50-150m²
爱玩书,直营,加盟,代理,2014年,3-5年,40-80m²
百丽童鞋,直营,2011年,3-5年,60-120m²
Moulin Roty,直营,1972年,1-5年,80-200m²
可爱可亲,加盟,直营,代理,2008年,3-5年,50-100m²
布雷汉姆亲子餐厅,直营,2017年,1-3年,300-500m²
NOKNOK,直营,2018年,3-5年,400-800m²
量子世界科学馆,直营,2017年,3-5年,150-260m²
小不点大视界,直营,2015年,5-10年,300-600m²
迪乐尼,加盟,代理,2010年,5-8年,500-1000m²
吉宝游乐园,直营,2015年,1-5年,100-300m²
小木马共享儿童推车,直营,2017年,1-3年,8-15m²
基诺浦,直营,加盟,代理,2003年,1-3年,40-80m²
小笑牛,直营,加盟,代理,1998年,1-3年,40-80m²
琳麦罗,直营,加盟,代理,2012年,3-5年,80-150m²
可可蒙主题乐园,直营,加盟,代理,2010年,5-8年,500-1000m²
天马行空国际马术学院,直营,2016年,5-10年,1500-2000m²
海贝童装,直营,加盟,代理,2009年,1-5年,50-100m²
斯玛特,直营,加盟,代理,2010年,5-8年,300-500m²
琦瑞德泽,直营,加盟,代理,2015年,3-5年,50-150m²
牧童童鞋,加盟,直营,代理,1993年,1-3年,100-400m²
大堡礁欢乐世界,加盟,直营,代理,2012年,10-15年,1500-2000m²
成长湾,直营,2009年,5-8年,6000-8000m²
爱尚跆拳道,直营,2009年,5-8年,200-300m²
棒棒贝贝科技中心,加盟,代理,2004年,3-5年,200-400m²
多多熊艺术家园,直营,加盟,代理,2013年,3-5年,100-300m²
匡威童装,直营,加盟,代理,2012年,1-3年,30-50m²
PlayABC儿童成长中心,直营,加盟,代理,2003年,5-10年,300-500m²
361°童装,直营,加盟,代理,2009年,1-3年,50-100m²
睿宝儿科,直营,2014年,5-10年,600-1000m²
斯凯奇儿童,直营,加盟,代理,1992年,3-5年,80-150m²
CA SEGA Wonder Forest,直营,2017年,5-10年,1000-1500m²
卡拉贝熊,直营,加盟,代理,2007年,1-3年,50-150m²
嘻鸭涂,直营,2013年,1-3年,50-80m²
家禾睦,直营,加盟,代理,2013年,3-5年,70-150m²
菲菲羊乐园,直营,2016年,5-10年,2000-3000m²
极橙儿童齿科,直营,2015年,5-10年,250-350m²
知音琴行,直营,加盟,代理,1997年,3-5年,150-300m²
托马斯缤纷啵啵球,直营,2016年,1-2年,300-600m²
chouchoubonbon亲子餐厅,直营,2012年,5-10年,400-550m²
最IN菲克城,直营,2016年,5-10年,4000-6000m²
李宁YOUNG,直营,加盟,代理,2017年,3-5年,50-100m²
荷苗小剧场,直营,2015年,5-10年,1000-1500m²
飞鹰轮滑,直营,加盟,代理,2006年,5-10年,500-800m²
BeeFun,直营,2018年,3-5年,220-300m²
Enwise LETS House婴幼儿成长中心,直营,2016年,5-10年,600-800m²
魔萌,直营,加盟,代理,2016年,3-5年,40-80m²
大嘴猴童装,直营,加盟,代理,2017年,1-3年,60-100m²
亲艺smilebaby,直营,2016年,8-10年,300-600m²
Agabang Gallery,直营,加盟,代理,1979年,1-3年,80-200m²
五月童品,直营,加盟,代理,2014年,1-3年,40-80m²
喜百年,直营,2016年,10-15年,8000-30000m²
贝芘熊欢乐王国,直营,2008年,1-5年,500-1500m²
男生女生,直营,加盟,代理,2013年,3-5年,100-200m²
夏加儿艺术,直营,加盟,代理,2009年,3-5年,200-500m²
meyazoo,加盟,2018年,5-8年,800-1200m²
大黄蜂,直营,加盟,代理,1989年,3-5年,80-120m²
红绿灯交通城儿童乐园,直营,加盟,2017年,1-10年,500-1000m²
玩塾积木屋,直营,加盟,代理,--,1-3年,200-350m²
Aimer kids,直营,2009年,1-3年,40-100m²
沃特宝贝,直营,加盟,代理,2002年,3-5年,300-800m²
泡泡堂,直营,加盟,代理,2010年,5-8年,1000-2500m²
海伦多兰成长中心,直营,加盟,代理,1985年,5-8年,300-500m²
蒜头宝宝进口母婴百货,直营,2012年,1-3年,100-200m²
汤姆猫亲子乐园,直营,加盟,2017年,5-10年,1000-2000m²
石尚博自然探索屋,直营,2003年,3-5年,100-200m²
彪马儿童,直营,1948年,3-5年,50-150m²
海饼干,直营,2017年,1-3年,100-300m²
趣我运动教育,直营,2014年,5-8年,400-600m²
